countrycode,year,ranking,costofliving_index,rent_index,groceries_index,restaurantprice_index,localpurchpower_index
IRN,2019,86,35.8,16.92,32.63,26.88,37.74
BIH,2019,87,35.72,6.32,28.81,23.78,49.18
RUS,2019,88,35.52,12.68,29.18,37.0,45.38
SRB,2019,89,35.39,8.08,26.3,27.84,39.9
TUR,2019,90,35.21,7.23,30.45,23.65,45.33
PHL,2019,91,35.09,8.09,32.61,19.67,29.46
TZA,2019,92,34.74,16.03,28.59,25.15,22.71
BOL,2019,93,34.37,10.88,26.9,27.96,44.05
MAR,2019,94,33.98,9.48,29.85,23.85,41.4
BLR,2019,95,33.12,9.96,27.77,35.98,44.64
ARG,2019,96,33.09,9.48,26.25,32.5,55.0
MEX,2019,97,32.71,10.06,30.3,30.23,49.98
ARM,2019,98,32.51,9.9,25.77,32.53,33.06
MDA,2019,100,32.26,7.97,24.97,27.71,30.75
BGD,2019,101,31.83,5.44,29.52,18.97,39.82
MKD,2019,102,31.58,6.47,24.85,23.67,39.83
NGA,2019,103,31.25,28.97,31.76,19.2,15.13
DZA,2019,104,30.56,5.51,32.0,16.38,32.93
LKA,2019,106,30.24,7.57,33.57,17.36,27.34
COL,2019,107,30.15,9.17,24.33,22.46,34.66
KAZ,2019,108,29.83,9.78,23.75,29.83,38.83
NPL,2019,109,29.63,4.6,25.4,19.74,26.28
AZE,2019,110,29.12,8.72,24.08,30.67,32.01
SGS,2019,111,28.78,8.53,23.39,27.09,33.19
UKR,2019,112,27.94,9.53,22.47,22.14,32.72
EGY,2019,114,26.46,5.01,23.19,22.26,23.67
VEN,2019,116,25.73,5.89,27.58,21.98,3.71
IOT,2019,117,24.17,5.84,24.2,17.15,66.91
TUN,2019,118,23.69,4.96,22.27,13.33,37.99
PAK,2019,119,20.4,4.5,18.25,15.42,38.61
