,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking
16,Sweden,82.91,27.49,55.83,78.72,89.99,110.95,2015,17,Sweden,75.7,25.21,51.44,67.89,79.18,128.22,2016,17,Sweden,75.88,26.86,52.39,67.94,78.27,107.23,2017,17,South Korea,82.94,23.39,54.22,99.67,48.98,109.36,2018,17,Australia,72.08,35.5,54.52,66.9,70.69,122.85,2019,17
17,South Korea,82.9,35.55,59.76,98.06,52.51,85.83,2015,18,Belgium,75.44,31.42,54.28,67.15,82.87,106.69,2016,18,United States,75.42,40.3,58.59,75.57,70.02,123.17,2017,18,Netherlands,82.69,36.21,60.27,65.83,92.73,109.48,2018,18,Austria,71.79,27.63,50.58,65.63,70.08,96.7,2019,18
18,Italy,82.72,25.71,54.86,71.43,93.07,79.35,2015,19,France,75.3,26.22,51.72,69.62,73.48,118.51,2016,19,South Korea,75.41,22.02,49.82,88.52,44.62,102.38,2017,19,Finland,81.7,29.72,56.63,68.78,86.89,119.42,2018,19,Sweden,71.55,26.05,49.7,63.45,75.04,111.38,2019,19
19,Canada,81.8,33.08,57.99,87.41,74.07,105.07,2015,20,Finland,75.25,26.98,52.05,66.59,76.85,132.93,2016,20,Belgium,75.36,29.64,53.44,65.77,82.34,91.02,2017,20,Austria,81.47,29.28,56.3,76.77,75.85,98.69,2018,20,United States,69.91,38.98,55.06,67.44,69.33,122.03,2019,20
20,Japan,80.36,29.71,55.61,82.68,50.51,98.21,2015,21,United States,74.08,38.39,56.93,75.69,69.13,139.17,2016,21,Kuwait,75.24,37.82,57.31,81.39,45.79,69.68,2017,21,Italy,79.06,23.14,52.09,68.05,84.74,81.07,2018,21,Singapore,69.79,53.1,61.77,57.48,46.75,103.77,2019,21
21,Israel,79.29,30.26,55.33,69.19,85.34,88.18,2015,22,South Korea,73.18,34.41,54.55,86.23,41.18,120.64,2016,22,France,74.89,24.83,50.9,69.54,72.89,87.29,2017,22,Hong Kong,78.72,79.54,79.12,83.47,56.17,82.86,2018,22,Italy,69.25,21.68,46.4,58.34,75.72,77.49,2019,22
22,Austria,76.87,29.2,53.57,73.56,70.43,104.55,2015,23,Netherlands,72.12,31.76,52.72,56.11,80.73,129.34,2016,23,Finland,73.06,26.95,50.96,61.47,76.43,114.97,2017,23,United Kingdom,75.85,33.4,55.38,60.96,83.87,108.54,2018,23,Germany,67.62,26.85,48.04,54.27,63.56,116.2,2019,23
23,United States,76.53,36.17,56.81,81.81,68.06,126.09,2015,24,Qatar,69.99,74.5,72.16,59.46,69.32,141.86,2016,24,Netherlands,72.47,32.45,53.29,55.95,82.27,86.52,2017,24,Germany,74.35,29.06,52.51,58.87,71.21,125.01,2018,24,United Kingdom,65.28,28.6,47.66,51.85,72.37,105.73,2019,24
24,Germany,76.27,27.16,52.27,64.85,72.46,111.84,2015,25,Italy,68.77,21.49,46.05,58.64,75.27,105.67,2016,25,Austria,71.52,25.86,49.64,65.86,66.94,95.66,2017,25,United States,72.95,38.52,56.35,73.93,69.95,127.62,2018,25,Canada,65.01,28.32,47.39,62.37,61.81,109.44,2019,25
25,Hong Kong,75.23,81.09,78.09,79.46,53.82,74.93,2015,26,Puerto Rico,66.73,19.7,44.13,65.94,58.71,108.26,2016,26,Uruguay,70.29,18.57,45.5,56.82,67.62,32.86,2017,26,Canada,72.48,30.82,52.38,71.44,68.7,118.92,2018,26,Puerto Rico,63.84,17.96,41.81,61.66,54.82,98.39,2019,26
