Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,Switzerland,126.03,57.63,92.61,128.44,127.64,146.51
,Norway,118.59,48.7,84.43,110.06,141.45,96.3
,Venezuela,111.01,34.13,73.44,128.43,91.09,11.9
,Iceland,102.14,35.86,69.75,103.76,105.21,70.84
,Denmark,100.6,34.71,68.4,88.59,117.53,105.7
,Australia,99.32,49.47,74.96,94.31,90.63,110.39
,New Zealand,93.71,35.76,65.39,92.51,86.31,90.99
,Singapore,93.61,84.62,89.22,81.52,59.46,75.4
,Kuwait,92.97,40.91,67.53,118.45,54.59,85.7
,United Kingdom,92.19,39.19,66.29,84.58,95.97,98.12
,Ireland,92.09,37.47,65.4,85.14,91.58,95.72
,Luxembourg,91.78,62.31,77.38,77.1,110.63,114.7
,Finland,89.68,29.87,60.45,84.3,92.38,101.17
,France,88.37,31.13,60.4,85.3,91.06,92.62
,Belgium,87.22,30.96,59.73,79.54,95.93,86.16
,Netherlands,85.98,35.5,61.31,66.82,102.13,102.02
,Sweden,82.91,27.49,55.83,78.72,89.99,110.95
,South Korea,82.9,35.55,59.76,98.06,52.51,85.83
,Italy,82.72,25.71,54.86,71.43,93.07,79.35
,Canada,81.8,33.08,57.99,87.41,74.07,105.07
,Japan,80.36,29.71,55.61,82.68,50.51,98.21
,Israel,79.29,30.26,55.33,69.19,85.34,88.18
,Austria,76.87,29.2,53.57,73.56,70.43,104.55
,United States,76.53,36.17,56.81,81.81,68.06,126.09
,Germany,76.27,27.16,52.27,64.85,72.46,111.84
,Hong Kong,75.23,81.09,78.09,79.46,53.82,74.93
,Qatar,74.0,76.31,75.13,65.4,78.14,113.02
,Puerto Rico,73.5,19.7,47.21,76.35,63.6,94.43
,Cyprus,72.52,16.2,45.0,66.06,75.18,71.05
,Ghana,71.83,54.15,63.19,73.39,59.13,14.17
,Greece,68.88,11.92,41.05,58.2,70.03,51.89
,Malta,68.81,18.33,44.14,58.1,75.93,72.45
,Belize,68.74,11.44,40.74,63.91,42.52,119.98
,Uruguay,68.55,21.8,45.71,60.62,64.57,44.87
,Lebanon,67.61,31.68,50.05,51.59,67.43,50.17
,United Arab Emirates,67.16,66.86,67.02,60.3,63.67,104.59
,Argentina,67.12,18.26,43.24,61.47,64.4,59.38
,Zimbabwe,65.89,19.8,43.37,59.42,54.33,33.4
,Spain,65.7,21.53,44.11,54.17,71.09,76.71
,Slovenia,65.15,17.27,41.75,55.58,54.03,64.16
,Jamaica,63.56,14.78,39.73,59.42,44.12,43.53
,Costa Rica,62.53,18.22,40.88,64.35,52.84,48.14
,Russia,61.91,28.73,45.7,49.88,71.8,38.86
,Jordan,61.38,15.27,38.85,50.86,58.59,38.67
,Estonia,61.2,16.17,39.2,48.98,51.51,51.44
,Mauritius,60.1,20.88,40.93,51.27,52.3,60.1
,Mozambique,59.92,34.18,47.34,52.71,71.25,41.2
,Nigeria,59.4,22.37,41.3,54.04,49.6,40.23
,Azerbaijan,59.13,30.46,45.12,50.22,64.69,29.21
,Trinidad And Tobago,59.08,22.15,41.04,60.07,51.01,46.98
,Croatia,58.92,11.8,35.9,52.32,46.36,50.47
,Portugal,58.22,18.29,38.71,47.4,51.07,58.22
,Tanzania,57.13,29.62,43.68,58.21,39.01,47.16
,Taiwan,57.06,17.23,37.6,66.73,27.88,69.9
,Cambodia,57.05,14.82,36.41,68.86,26.07,11.93
,Bahrain,56.17,37.39,46.99,55.32,54.19,59.69
,Dominican Republic,55.95,12.34,34.64,55.21,44.16,28.2
,Latvia,55.94,13.01,34.96,44.79,47.18,44.39
,Uzbekistan,55.92,13.74,35.31,49.89,43.13,23.16
,Brazil,55.33,18.53,37.35,44.31,45.44,41.16
,Panama,55.16,31.22,43.46,61.03,40.39,43.34
,Kazakhstan,54.27,19.41,37.24,44.37,58.98,43.48
,Oman,54.2,28.96,41.87,47.38,44.45,106.83
,Uganda,53.9,8.34,31.64,49.84,26.6,16.91
,Namibia,53.67,20.68,37.55,46.69,51.35,42.86
,Palestine,53.27,7.55,30.93,48.5,35.97,46.09
,Chile,53.21,17.12,35.58,47.77,44.59,55.11
,Honduras,53.06,10.12,32.08,49.71,33.92,62.64
,Myanmar,53.04,27.47,40.55,59.38,26.39,21.18
,Lithuania,52.76,13.59,33.62,44.55,37.53,46.86
,Libya,52.12,19.12,35.99,58.09,47.66,44.29
,Slovakia,51.6,17.42,34.9,46.94,38.13,56.05
,Ethiopia,51.47,16.88,34.56,50.27,24.76,15.85
,El Salvador,50.64,10.59,31.07,44.45,36.33,28.67
,Guatemala,50.42,14.05,32.65,51.53,35.75,38.02
,Saudi Arabia,50.35,15.22,33.19,46.91,34.83,126.19
,Belarus,50.2,17.64,34.29,45.38,57.88,35.82
,Kenya,50.01,17.11,33.93,50.55,34.83,28.74
,Turkey,49.55,11.5,30.96,39.94,38.74,53.63
,Peru,49.43,17.01,33.58,47.65,34.29,30.64
,Hungary,48.9,9.52,29.66,39.3,37.78,46.85
,China,48.89,22.42,35.96,50.18,36.52,48.64
,Czech Republic,48.5,16.61,32.92,43.78,33.04,68.07
,Iraq,48.21,17.97,33.43,41.85,43.29,41.2
,Montenegro,48.09,9.59,29.27,40.34,41.46,40.24
,Nicaragua,47.85,7.9,28.33,43.27,28.34,20.62
,Thailand,46.52,16.72,31.96,52.74,24.72,38.75
,Malaysia,45.97,13.41,30.06,45.88,25.44,73.54
,South Africa,45.58,16.95,31.59,40.41,41.52,101.78
,Ecuador,45.57,14.01,30.15,46.26,29.26,28.0
,Poland,45.11,15.13,30.46,36.5,38.77,63.49
,Iran,44.53,17.77,31.46,45.98,40.07,30.65
,Bulgaria,43.57,9.49,26.91,38.5,33.81,39.88
,Serbia,43.29,8.47,26.28,35.0,37.2,39.15
,Romania,42.39,10.01,26.57,37.43,35.06,40.62
,Bosnia And Herzegovina,42.3,7.31,25.2,37.52,29.14,44.74
,Albania,41.95,8.55,25.63,34.1,33.21,34.79
,Vietnam,41.86,14.86,28.67,39.42,22.69,21.32
,Sri Lanka,41.66,10.74,26.55,50.79,22.81,28.24
,Ukraine,41.29,12.68,27.31,35.53,38.18,27.87
,Mexico,41.26,11.71,26.82,42.35,33.27,59.51
,Armenia,40.68,9.65,25.52,33.2,32.71,27.74
,Kosovo (Disputed Territory),40.17,14.76,27.75,30.52,29.75,29.19
,Bolivia,40.02,10.84,25.76,33.95,26.01,41.1
,Philippines,40.0,7.53,24.13,41.14,23.13,35.41
,Morocco,39.78,10.26,25.36,34.82,32.35,35.49
,Georgia,39.56,11.94,26.06,31.82,37.93,26.21
,Indonesia,39.35,13.85,26.89,44.12,21.91,26.01
,Bangladesh,39.22,5.85,22.91,40.11,25.52,33.43
,Colombia,38.92,12.91,26.21,36.21,29.61,36.08
,Syria,38.24,10.35,24.61,35.37,31.25,23.11
,North Macedonia,37.41,7.02,22.56,31.99,28.48,35.48
,Egypt,37.22,9.01,23.43,35.09,32.04,25.84
,Moldova,34.72,7.69,21.51,29.75,28.38,23.7
,Algeria,34.1,7.83,21.26,33.95,26.96,36.94
,Tunisia,34.06,8.47,21.56,31.97,23.26,36.75
,Pakistan,30.71,4.81,18.05,30.38,23.5,33.21
,Nepal,28.85,3.23,16.33,27.8,18.66,21.33
,India,26.27,6.78,16.74,28.52,15.94,65.79
