Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,Fiji,43.82,15.49,30.2,49.54,34.12,42.37
,El Salvador,42.56,9.76,26.79,38.38,28.83,43.15
,Czech Republic,41.8,14.45,28.66,36.51,28.34,89.88
,Hungary,41.29,10.54,26.51,33.18,30.75,56.3
,Iran,41.12,16.38,29.23,38.6,35.05,47.73
,Thailand,40.02,15.18,28.08,43.8,20.22,40.06
,Kenya,39.84,12.66,26.78,37.86,29.11,31.07
,Namibia,39.74,16.67,28.65,32.66,35.68,49.16
,Libya,39.66,14.08,27.36,39.71,32.17,62.51
,Vietnam,39.5,13.94,27.22,39.51,18.24,25.88
,Montenegro,39.49,9.2,24.93,31.77,35.84,52.5
,Belarus,39.45,13.25,26.86,32.44,49.3,39.16
,Brazil,38.88,12.3,26.1,29.92,31.55,48.69
,Poland,38.53,13.54,26.52,30.76,31.71,80.77
,Russia,38.48,17.13,28.22,32.22,42.05,57.42
,Peru,38.04,13.07,26.04,35.46,25.22,47.52
,Botswana,37.65,8.49,23.64,31.46,29.96,76.27
,Malaysia,37.47,11.06,24.78,37.54,19.85,96.34
,Bolivia,37.44,10.02,24.27,30.58,24.42,53.95
,Egypt,36.71,9.63,23.69,33.13,31.8,40.3
,Bulgaria,36.36,8.45,22.95,30.9,29.89,59.19
,Indonesia,36.33,9.86,23.61,40.9,18.41,35.51
,Morocco,35.56,9.67,23.12,31.74,23.98,48.74
,Bangladesh,35.5,5.3,20.99,32.58,21.26,44.48
,Armenia,35.49,9.77,23.13,28.3,30.98,33.08
,Mexico,35.01,9.88,22.93,33.71,28.19,76.51
,Romania,34.8,8.63,22.22,28.79,29.17,61.9
,South Africa,34.75,13.18,24.38,29.15,32.27,126.1
,Philippines,34.73,6.72,21.27,34.56,18.59,42.86
,Bosnia And Herzegovina,34.59,5.83,20.77,29.77,24.07,60.64
,Sri Lanka,34.11,8.6,21.85,38.52,21.15,32.95
,Albania,33.81,7.12,20.98,27.33,27.59,43.58
,Serbia,33.56,6.69,20.65,25.77,25.64,49.62
,Syria,31.75,8.02,20.35,29.84,23.68,25.83
,North Macedonia,31.05,5.92,18.97,26.14,21.17,46.74
,Tunisia,30.67,7.05,19.32,29.9,18.34,46.24
,Colombia,29.25,9.46,19.74,24.72,20.86,45.99
,Azerbaijan,28.93,11.08,20.35,24.16,28.41,41.07
,Algeria,28.89,7.1,18.42,30.5,18.77,49.46
,Georgia,28.71,10.64,20.02,24.61,26.9,30.88
,Ukraine,28.56,9.47,19.39,22.43,22.75,29.66
,Nepal,27.34,3.0,15.64,24.99,14.43,31.2
,Kazakhstan,26.82,9.53,18.52,21.48,27.65,59.3
,Pakistan,26.69,4.68,16.11,25.4,20.64,43.34
,Moldova,25.7,7.12,16.77,20.38,18.64,32.04
,India,24.14,6.37,15.6,24.92,15.31,89.65
