Rank,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
,Uzbekistan,14.67,6.8,6.74,14.7,14.83,277.47,0.36
,Russia,14.6,6.87,6.46,14.56,15.48,209.95,0.48
,Albania,14.58,3.5,5.33,28.59,18.78,138.43,0.72
,Colombia,14.35,6.07,5.51,16.47,18.15,188.58,0.53
,Pakistan,14.32,3.03,3.54,33.02,28.26,218.22,0.46
,Sri Lanka,14.29,7.89,3.7,12.67,26.99,226.12,0.44
,Zimbabwe,14.11,6.53,4.88,15.32,20.5,405.98,0.25
,Armenia,13.39,6.55,5.33,15.28,18.75,197.43,0.51
,Lithuania,12.87,4.12,4.1,24.25,24.42,87.49,1.14
,Kazakhstan,12.73,5.86,5.55,17.08,18.01,186.69,0.54
,Bosnia And Herzegovina,12.5,3.16,3.1,31.69,32.28,123.72,0.81
,Croatia,12.48,3.08,3.42,32.51,29.23,109.97,0.91
,Botswana,12.43,8.36,1.98,11.96,50.4,159.07,0.63
,Latvia,12.19,3.85,4.63,25.94,21.59,83.51,1.2
,Romania,11.81,4.8,4.84,20.84,20.67,108.96,0.92
,Italy,11.69,2.82,3.56,35.46,28.06,94.06,1.06
,Estonia,11.65,4.21,4.35,23.76,22.98,78.12,1.28
,Argentina,11.59,3.63,3.75,27.58,26.64,231.65,0.43
,Dominican Republic,11.45,6.0,7.8,16.68,12.82,171.89,0.58
,Egypt,11.33,7.49,7.94,13.35,12.59,132.27,0.76
,Uruguay,11.23,5.59,5.92,17.89,16.9,108.51,0.92
,South Korea,11.01,3.34,3.76,29.95,26.61,83.32,1.2
,Bangladesh,10.9,3.74,4.29,26.75,23.31,194.01,0.52
,Tunisia,10.85,5.92,5.85,16.88,17.09,109.26,0.92
,Chile,10.84,4.4,5.34,22.71,18.74,87.73,1.14
,Panama,10.79,11.56,6.98,8.65,14.33,88.77,1.13
,Nigeria,10.74,10.74,3.43,9.31,29.17,205.19,0.49
,Israel,10.72,3.36,3.83,29.76,26.08,68.86,1.45
,Palestine,10.62,3.01,3.25,33.23,30.78,84.14,1.19
,Slovenia,10.61,3.62,3.78,27.61,26.43,79.56,1.26
,Czech Republic,10.59,3.97,4.75,25.16,21.05,71.37,1.4
,Poland,10.56,4.42,4.64,22.62,21.55,83.11,1.2
,Bolivia,10.33,6.15,5.41,16.26,18.48,94.54,1.06
,India,10.06,3.3,3.91,30.33,25.55,124.36,0.8
,Trinidad And Tobago,10.01,18.35,3.4,5.45,29.38,95.48,1.05
,Nicaragua,10.0,8.24,7.84,12.14,12.75,153.6,0.65
,France,9.7,3.18,3.92,31.44,25.48,66.73,1.5
,Greece,9.67,3.57,3.54,27.99,28.21,75.32,1.33
,Austria,9.6,2.95,3.66,33.95,27.3,64.32,1.55
,Spain,9.56,3.95,4.48,25.34,22.32,66.42,1.51
,Bulgaria,9.42,5.54,6.0,18.06,16.66,92.96,1.08
,Guatemala,9.29,7.17,7.55,13.95,13.25,101.72,0.98
,Sweden,9.25,2.82,3.18,35.46,31.49,61.85,1.62
,Japan,9.24,3.58,3.32,27.94,30.09,55.84,1.79
,Iraq,8.89,8.38,9.69,11.93,10.32,93.25,1.07
,United Kingdom,8.63,4.11,4.58,24.32,21.82,63.43,1.58
,Hungary,8.58,4.66,5.1,21.47,19.6,84.03,1.19
,Jordan,8.58,6.92,7.39,14.46,13.54,87.47,1.14
,Slovakia,8.58,6.23,6.64,16.04,15.05,61.09,1.64
,Malaysia,8.35,4.6,4.24,21.75,23.57,64.84,1.54
,Portugal,8.32,5.68,6.42,17.62,15.57,61.94,1.61
,Luxembourg,8.31,5.27,4.8,18.98,20.85,50.43,1.98
,Bahrain,7.89,9.32,10.82,10.73,9.24,69.39,1.44
,Norway,7.74,4.64,4.87,21.56,20.52,54.74,1.83
,Cyprus,7.38,4.28,4.28,23.39,23.38,63.99,1.56
,Switzerland,7.28,3.47,3.56,28.84,28.06,44.0,2.27
,Malta,7.2,4.73,5.15,21.14,19.42,49.83,2.01
,Australia,7.13,5.03,5.4,19.88,18.5,59.32,1.69
,Finland,7.01,3.86,5.0,25.93,20.01,43.52,2.3
,Turkey,6.7,5.93,7.11,16.86,14.06,86.84,1.15
,Germany,6.61,4.01,4.45,24.93,22.45,44.27,2.26
,Qatar,6.56,8.8,7.48,11.36,13.37,51.69,1.93
,Belgium,6.49,5.44,5.98,18.37,16.71,45.92,2.18
,Mexico,6.26,7.42,6.17,13.48,16.21,77.27,1.29
,Netherlands,6.22,5.61,5.63,17.82,17.77,46.1,2.17
,United Arab Emirates,6.16,8.76,9.75,11.42,10.26,49.9,2.0
,Kuwait,6.12,7.4,6.16,13.51,16.22,54.74,1.83
,Ireland,6.07,5.8,6.42,17.25,15.57,45.0,2.22
,New Zealand,5.78,6.04,7.0,16.57,14.28,49.11,2.04
,Costa Rica,5.74,10.23,9.31,9.78,10.74,84.35,1.19
,Iceland,5.61,8.05,8.05,12.42,12.42,52.65,1.9
,Canada,5.52,5.85,6.4,17.09,15.62,37.88,2.64
,Namibia,5.42,9.29,30.16,10.76,3.32,63.96,1.56
,Libya,5.08,15.08,13.2,6.63,7.57,50.98,1.96
,Denmark,5.02,5.74,5.72,17.42,17.5,34.3,2.92
,Mozambique,4.87,19.9,24.56,5.02,4.07,102.3,0.98
,Puerto Rico,4.54,5.74,6.26,17.43,15.98,36.02,2.78
,Jamaica,4.27,13.36,9.22,7.48,10.85,55.22,1.81
,Bahamas,3.87,7.3,8.45,13.7,11.83,39.41,2.54
,Belize,3.67,4.0,3.46,25.01,28.9,38.87,2.57
,Honduras,3.51,7.11,11.47,14.06,8.72,49.01,2.04
,Oman,3.23,11.35,12.64,8.81,7.91,30.3,3.3
,South Africa,3.14,10.2,9.4,9.8,10.63,33.59,2.98
,Saudi Arabia,3.12,7.2,6.85,13.89,14.59,23.55,4.25
,United States,2.62,11.16,12.92,8.96,7.74,19.43,5.15
,Tanzania,1.84,80.31,27.8,1.25,3.6,27.9,3.58
