Rank,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
,Uganda,31.13,1.86,10.02,53.7,9.98,649.36,0.15
,Syria,30.49,3.95,3.15,25.33,31.75,283.67,0.35
,Hong Kong,30.09,2.67,2.77,37.49,36.08,192.99,0.52
,Myanmar,26.84,8.47,2.95,11.81,33.92,317.96,0.31
,Ghana,26.62,10.77,13.45,9.28,7.44,670.38,0.15
,China,26.42,2.78,3.0,35.94,33.33,230.62,0.43
,El Salvador,25.44,5.3,1.66,18.88,60.3,336.09,0.3
,Taiwan,24.97,1.4,1.8,71.43,55.54,152.28,0.66
,Vietnam,23.92,5.17,7.64,19.33,13.09,285.6,0.35
,Venezuela,22.23,12.49,9.27,8.01,10.79,333.43,0.3
,Mauritius,22.13,2.21,2.41,45.26,41.48,228.83,0.44
,Singapore,21.41,3.42,3.89,29.24,25.69,133.27,0.75
,Cambodia,21.11,10.78,7.85,9.28,12.74,232.05,0.43
,Algeria,20.91,2.7,3.4,36.98,29.38,161.45,0.62
,Iran,20.78,5.05,5.53,19.81,18.09,468.12,0.21
,Thailand,20.76,3.93,3.22,25.45,31.06,179.53,0.56
,Nepal,19.74,2.61,2.84,38.26,35.16,257.35,0.39
,Indonesia,18.93,6.24,5.74,16.02,17.43,217.37,0.46
,Philippines,18.52,3.1,2.65,32.25,37.7,198.55,0.5
,Ukraine,17.38,5.96,5.88,16.78,17.02,349.26,0.29
,Moldova,17.07,5.18,5.68,19.32,17.59,267.28,0.37
,Serbia,17.07,2.81,3.15,35.59,31.78,155.29,0.64
,Kenya,16.75,8.34,4.12,11.99,24.25,287.29,0.35
,Brazil,16.7,4.23,4.32,23.65,23.14,200.64,0.5
,Kosovo (Disputed Territory),16.7,6.4,7.2,15.62,13.89,234.72,0.43
,Belarus,16.36,5.46,5.23,18.33,19.13,545.46,0.18
,Peru,16.27,6.03,6.5,16.59,15.39,189.76,0.53
,Lebanon,16.21,4.0,5.73,25.0,17.46,143.71,0.7
,Azerbaijan,16.19,7.7,9.0,12.99,11.11,185.65,0.54
,Morocco,16.12,4.76,3.6,20.99,27.78,135.99,0.74
,Montenegro,16.07,3.06,3.23,32.71,30.97,170.18,0.59
,North Macedonia,15.38,3.46,3.51,28.93,28.47,148.07,0.68
,Ethiopia,15.37,11.96,7.67,8.36,13.04,174.95,0.57
,Georgia,15.17,6.78,6.6,14.76,15.16,208.57,0.48
,Ecuador,14.67,7.02,6.42,14.24,15.57,167.68,0.6
