Rank,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
,Hong Kong,41.08,1.95,1.91,51.37,52.34,257.22,0.39
,China,28.2,1.76,2.12,56.83,47.1,224.3,0.45
,Thailand,22.78,3.76,3.62,26.57,27.61,195.53,0.51
,Algeria,22.23,2.56,2.81,39.14,35.62,184.28,0.54
,Singapore,22.2,2.67,3.17,37.47,31.58,138.59,0.72
,Vietnam,21.34,4.93,6.96,20.27,14.36,227.34,0.44
,Azerbaijan,20.12,5.36,5.36,18.67,18.65,227.73,0.44
,Peru,18.93,4.8,5.31,20.85,18.83,227.75,0.44
,Uruguay,18.52,4.97,4.65,20.1,21.49,193.01,0.52
,Ukraine,18.21,6.04,6.59,16.57,15.18,387.91,0.26
,Colombia,18.09,4.18,4.43,23.93,22.58,249.78,0.4
,Philippines,17.84,4.17,3.57,23.95,27.97,172.8,0.58
,Serbia,17.22,3.2,3.38,31.26,29.55,129.74,0.77
,Brazil,16.26,4.06,4.17,24.61,23.95,215.96,0.46
,Belarus,16.0,4.98,4.6,20.07,21.72,298.55,0.33
,Montenegro,15.05,3.44,3.95,29.11,25.3,139.49,0.72
,Moldova,14.85,6.44,6.59,15.53,15.17,205.91,0.49
,Taiwan,14.35,1.44,1.77,69.22,56.5,87.29,1.15
,Albania,14.25,3.69,4.75,27.07,21.05,129.22,0.77
,Panama,14.14,8.21,7.96,12.19,12.57,113.8,0.88
,South Korea,14.05,1.79,1.86,55.73,53.72,98.21,1.02
,Israel,13.85,2.63,3.05,38.03,32.74,94.37,1.06
,Lebanon,13.72,5.02,5.92,19.93,16.88,121.26,0.82
,Armenia,13.58,6.66,5.64,15.02,17.74,194.54,0.51
,North Macedonia,13.55,3.92,3.73,25.53,26.8,122.45,0.82
,Tunisia,13.51,4.22,4.9,23.69,20.4,123.18,0.81
,Hungary,13.32,4.49,5.34,22.25,18.72,112.96,0.89
,Morocco,13.29,5.34,5.06,18.71,19.77,112.11,0.89
,Chile,13.09,4.37,4.33,22.89,23.1,101.35,0.99
,Indonesia,13.07,4.56,4.83,21.92,20.72,136.15,0.73
,Lithuania,13.02,3.97,4.22,25.19,23.7,79.1,1.26
,Ecuador,13.0,5.41,5.11,18.49,19.57,161.7,0.62
,Kazakhstan,12.84,6.26,5.95,15.98,16.82,229.86,0.44
,Czech Republic,12.73,3.74,4.08,26.76,24.49,77.39,1.29
,Dominican Republic,12.68,6.57,6.51,15.23,15.35,172.89,0.58
,Egypt,12.68,6.92,6.71,14.46,14.9,207.7,0.48
,Kosovo (Disputed Territory),12.67,3.68,4.89,27.14,20.44,109.4,0.91
,Japan,12.64,2.03,2.56,49.26,39.07,71.0,1.41
,Pakistan,12.48,4.43,4.11,22.55,24.32,159.56,0.63
,Bangladesh,12.46,3.84,3.41,26.06,29.3,161.59,0.62
,Iran,12.45,6.64,8.02,15.05,12.47,238.61,0.42
,Georgia,12.45,7.2,7.62,13.9,13.13,154.58,0.65
,Bosnia And Herzegovina,11.56,3.43,3.14,29.15,31.84,101.04,0.99
,Russia,11.44,6.28,6.46,15.93,15.49,154.85,0.65
,Luxembourg,11.18,3.94,3.97,25.36,25.19,67.59,1.48
,Croatia,11.09,3.59,3.73,27.87,26.8,90.62,1.1
,Switzerland,10.94,2.65,3.0,37.74,33.37,62.84,1.59
,Bolivia,10.83,5.59,6.09,17.89,16.42,95.61,1.05
,Argentina,10.68,4.2,4.2,23.8,23.79,286.2,0.35
,Sweden,10.52,2.61,3.37,38.37,29.67,63.02,1.59
,Portugal,10.01,5.53,6.36,18.09,15.71,65.58,1.52
,France,9.93,3.2,3.66,31.29,27.36,60.78,1.65
,Italy,9.88,3.54,4.28,28.25,23.35,63.15,1.58
,Slovakia,9.88,5.51,5.76,18.14,17.37,59.58,1.68
,Poland,9.77,4.91,5.28,20.39,18.92,69.57,1.44
,Latvia,9.77,5.17,5.42,19.35,18.45,64.59,1.55
,Malta,9.75,5.8,6.77,17.24,14.78,68.9,1.45
,India,9.73,3.05,3.78,32.78,26.44,112.15,0.89
,Malaysia,9.62,3.75,4.18,26.68,23.92,73.37,1.36
,Austria,9.58,3.6,3.87,27.8,25.87,58.7,1.7
,Greece,9.46,4.0,4.35,25.0,23.01,70.7,1.41
,United Kingdom,9.31,3.88,4.61,25.76,21.67,63.26,1.58
,Estonia,9.24,4.15,4.42,24.09,22.62,58.1,1.72
,Romania,9.1,4.82,4.84,20.76,20.65,62.5,1.6
,Turkey,8.95,5.21,6.14,19.19,16.29,123.62,0.81
,Norway,8.71,3.64,4.09,27.45,24.44,55.55,1.8
,Iraq,8.64,6.53,7.45,15.32,13.42,119.75,0.84
,Bulgaria,8.58,5.42,5.72,18.43,17.48,67.03,1.49
,Slovenia,8.38,4.15,4.09,24.08,24.45,59.03,1.69
,New Zealand,8.18,4.83,4.93,20.68,20.3,64.31,1.55
,Germany,8.05,3.57,3.9,28.04,25.61,48.33,2.07
,Spain,8.0,4.68,5.57,21.36,17.96,49.83,2.01
,Costa Rica,7.91,7.29,7.51,13.72,13.31,91.32,1.1
,Mexico,7.8,6.48,6.15,15.44,16.25,97.3,1.03
,Ireland,7.63,6.17,7.49,16.2,13.35,54.8,1.82
,Finland,7.49,3.75,4.56,26.69,21.92,43.31,2.31
,Australia,7.41,4.97,5.15,20.13,19.41,56.1,1.78
,Jordan,7.28,7.26,8.19,13.77,12.21,70.3,1.42
,Denmark,7.22,4.18,4.79,23.93,20.88,44.67,2.24
,Belgium,7.1,4.93,4.92,20.29,20.32,44.91,2.23
,Iceland,6.85,6.71,7.5,14.91,13.34,59.97,1.67
,Netherlands,6.74,5.31,6.15,18.82,16.25,43.09,2.32
,Canada,6.12,5.35,6.01,18.69,16.63,40.41,2.47
,Palestine,5.39,6.18,6.61,16.19,15.14,50.12,2.0
,Cyprus,5.33,5.46,5.69,18.31,17.58,39.17,2.55
,United Arab Emirates,4.88,10.26,10.6,9.74,9.43,35.87,2.79
,South Africa,3.49,10.17,10.34,9.83,9.67,41.8,2.39
,United States,3.34,10.75,11.8,9.3,8.47,24.1,4.15
,Saudi Arabia,2.79,7.8,8.34,12.82,11.99,19.88,5.03
