Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,Armenia,33.87,9.91,22.39,26.83,31.03,32.88
,Belarus,33.84,12.21,23.47,27.19,37.6,36.43
,Serbia,33.79,7.25,21.07,24.96,27.2,40.8
,Sri Lanka,33.47,8.74,21.62,36.79,19.51,30.28
,Albania,32.42,6.3,19.9,26.07,25.06,34.49
,Algeria,32.38,6.83,20.14,32.5,20.12,36.66
,North Macedonia,30.93,6.02,18.99,25.41,20.74,39.85
,Kazakhstan,30.74,11.27,21.41,24.83,32.04,44.84
,Nepal,30.02,3.36,17.24,26.38,16.27,25.09
,Mexico,29.81,8.37,19.53,28.06,25.8,60.08
,Tunisia,28.74,6.1,17.89,27.58,16.95,40.19
,Moldova,28.37,7.85,18.54,21.97,20.32,29.38
,Syria,28.31,5.98,17.61,26.72,22.21,14.08
,Azerbaijan,27.76,10.66,19.57,22.93,29.25,30.8
,Georgia,27.37,8.57,18.36,22.26,26.65,33.03
,Pakistan,27.18,5.03,16.57,24.83,21.01,39.95
,Ukraine,26.22,9.36,18.14,19.87,19.69,26.93
,India,25.08,6.77,16.31,25.2,16.38,76.73
,Egypt,22.36,5.03,14.05,19.01,18.56,29.39
