Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,Bermuda,144.88,100.71,123.57,143.42,151.59,104.24
,Switzerland,131.39,53.84,93.99,133.34,131.86,126.15
,Iceland,123.96,54.63,90.52,118.95,132.59,87.84
,Norway,113.7,40.85,78.57,106.52,125.04,107.95
,Bahamas,100.68,35.31,69.16,88.38,102.08,71.4
,Luxembourg,96.56,59.87,78.87,84.98,107.94,116.73
,Denmark,93.3,36.62,65.96,72.46,113.39,117.53
,Singapore,91.4,71.89,81.99,83.64,64.4,95.89
,Japan,86.58,25.6,57.17,91.58,49.16,107.35
,Israel,86.53,35.57,61.95,72.44,94.89,102.3
,Ireland,85.45,47.16,66.98,69.51,93.16,96.1
,Australia,84.3,41.85,63.83,80.66,81.57,122.98
,France,83.86,28.62,57.22,78.06,81.87,101.21
,Sweden,83.7,28.01,56.84,76.1,86.67,113.01
,New Zealand,83.41,33.79,59.48,76.98,79.05,98.61
,Belgium,83.35,28.05,56.68,72.79,93.25,98.91
,South Korea,82.94,23.39,54.22,99.67,48.98,109.36
,Netherlands,82.69,36.21,60.27,65.83,92.73,109.48
,Finland,81.7,29.72,56.63,68.78,86.89,119.42
,Austria,81.47,29.28,56.3,76.77,75.85,98.69
,Italy,79.06,23.14,52.09,68.05,84.74,81.07
,Hong Kong,78.72,79.54,79.12,83.47,56.17,82.86
,United Kingdom,75.85,33.4,55.38,60.96,83.87,108.54
,Germany,74.35,29.06,52.51,58.87,71.21,125.01
,United States,72.95,38.52,56.35,73.93,69.95,127.62
,Canada,72.48,30.82,52.38,71.44,68.7,118.92
,Malta,70.92,29.33,50.86,59.82,75.14,66.24
,United Arab Emirates,67.21,60.72,64.08,55.59,63.33,124.78
,Puerto Rico,66.99,18.69,43.7,66.25,55.72,103.77
,Uruguay,66.88,20.03,44.29,54.51,69.18,34.31
,Taiwan,65.42,15.06,41.13,79.24,28.86,106.38
,Qatar,65.37,65.33,65.35,57.5,64.8,125.05
,Greece,63.15,11.82,38.4,50.87,61.7,53.8
,Spain,61.75,22.23,42.69,51.28,60.56,90.67
,Jamaica,60.62,12.47,37.4,60.25,39.67,35.26
,Cyprus,60.32,15.44,38.68,49.67,65.36,94.78
,Lebanon,60.23,27.93,44.65,46.15,58.7,56.36
,Ghana,59.79,32.79,46.77,54.89,37.39,15.95
,Slovenia,59.65,15.5,38.36,50.78,48.93,80.33
,Bahrain,59.63,31.05,45.84,57.99,54.16,72.29
,Palestine,58.16,10.29,35.07,54.43,41.78,60.19
,Estonia,57.65,15.81,37.47,43.8,56.8,74.82
,Kuwait,56.9,36.33,46.98,43.97,48.48,100.58
,Costa Rica,56.2,17.65,37.61,55.56,45.89,54.7
,Portugal,55.86,20.39,38.75,45.47,46.83,61.97
,Chile,55.24,16.61,36.61,47.8,51.4,54.53
,Jordan,55.09,12.07,34.34,46.54,52.66,43.43
,Croatia,55.06,12.02,34.31,46.33,43.42,59.77
,Mauritius,55.04,13.33,34.92,49.51,39.37,46.66
,Trinidad And Tobago,54.57,18.76,37.3,53.37,50.33,54.91
,Argentina,53.74,13.84,34.5,44.64,53.69,60.15
,Latvia,53.42,13.35,34.1,42.47,48.05,53.1
,Lithuania,53.24,15.21,34.9,41.74,48.86,57.29
,Panama,52.41,26.59,39.96,53.04,44.3,39.12
,Brazil,51.33,13.89,33.27,39.69,41.21,41.56
,Slovakia,50.41,18.86,35.19,43.66,37.34,67.29
,Czech Republic,50.09,19.07,35.13,43.62,36.03,76.35
,Zimbabwe,49.54,12.29,31.57,44.3,37.66,27.29
,Oman,49.31,20.31,35.32,46.71,46.17,99.24
,Thailand,48.91,17.1,33.57,54.9,23.94,38.59
,Hungary,48.6,15.37,32.57,38.61,37.38,50.62
,South Africa,48.05,17.91,33.51,40.66,45.74,99.83
,Dominican Republic,47.9,10.3,29.77,41.87,43.65,27.43
,El Salvador,47.87,11.45,30.31,46.79,36.16,30.92
,Saudi Arabia,47.86,13.5,31.29,42.04,32.03,131.46
,Ethiopia,47.55,24.02,36.2,39.15,20.21,14.98
,Guatemala,46.87,14.59,31.3,44.62,36.81,41.3
,Zambia,46.49,19.5,33.47,40.41,33.5,101.26
,Cambodia,45.92,13.55,30.31,49.33,23.07,14.94
,Poland,45.2,16.63,31.42,35.85,37.7,74.42
,Tanzania,44.97,19.0,32.45,34.48,29.36,23.1
,Malaysia,44.73,11.52,28.72,48.21,23.22,72.98
,China,44.56,18.38,31.93,47.73,29.59,72.28
,Montenegro,44.41,10.85,28.22,35.75,38.08,48.68
,Ecuador,44.28,11.18,28.32,42.85,30.82,39.39
,Honduras,44.28,10.64,28.06,36.58,32.99,34.86
,Russia,43.89,16.61,30.73,35.9,45.91,51.11
,Iraq,43.88,12.84,28.91,37.67,38.4,51.2
,Turkey,41.8,10.38,26.65,36.17,31.23,53.78
,Bulgaria,41.21,9.81,26.06,35.2,33.61,54.44
,Indonesia,39.74,8.5,24.68,43.52,19.5,37.49
,Romania,39.71,10.85,25.79,32.83,33.28,66.2
,Peru,39.64,14.4,27.47,35.87,26.29,37.07
,Serbia,39.59,8.44,24.57,29.95,31.45,41.81
,Vietnam,39.44,15.11,27.71,39.09,19.96,30.09
,Bosnia And Herzegovina,39.26,6.94,23.68,33.76,26.68,52.4
,Kenya,38.72,8.67,24.23,36.57,31.61,32.06
,Albania,37.88,7.33,23.15,30.87,29.08,37.03
,Morocco,37.12,11.46,24.74,33.26,25.76,45.07
,Bolivia,36.53,9.87,23.67,28.84,28.52,44.68
,Philippines,35.99,8.04,22.51,34.3,20.94,34.02
,Colombia,35.29,10.13,23.16,29.52,26.68,38.59
,North Macedonia,34.84,6.91,21.37,28.73,23.64,42.55
,Nigeria,34.65,15.97,25.64,35.8,22.06,19.56
,Iran,34.56,15.9,25.56,31.0,27.27,45.6
,Sri Lanka,34.32,8.33,21.78,38.38,19.69,29.56
,Kazakhstan,34.25,11.23,23.15,28.06,35.41,40.75
,Belarus,34.06,10.58,22.74,27.91,35.76,41.32
,Mexico,33.56,9.51,21.96,32.18,29.48,58.18
,Armenia,33.45,8.81,21.57,27.75,31.21,31.78
,Moldova,33.1,8.75,21.36,26.64,23.52,29.27
,Uganda,32.67,6.83,20.21,28.32,23.17,21.39
,Nepal,32.62,4.43,19.02,30.18,19.03,25.33
,Venezuela,32.21,7.62,20.35,33.83,26.7,4.0
,Algeria,32.13,6.05,19.55,33.8,17.6,35.98
,Bangladesh,31.99,5.55,19.24,30.25,21.2,39.57
,Azerbaijan,30.62,9.5,20.43,27.43,30.59,28.71
,Georgia,29.66,9.76,20.06,24.59,29.15,35.5
,Kosovo (Disputed Territory),29.44,8.65,19.41,26.29,20.97,59.23
,Syria,27.81,5.12,16.87,26.23,22.16,11.32
,Tunisia,27.67,5.81,17.13,26.41,17.05,38.23
,India,26.88,6.77,17.18,27.46,18.34,79.27
,Ukraine,25.98,8.85,17.72,20.38,18.62,30.24
,Egypt,25.69,5.07,15.75,23.01,21.02,24.67
,Pakistan,25.08,5.29,15.54,23.81,19.02,41.11
