Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,Peru,37.17,11.96,25.06,32.69,23.68,37.47
,Romania,36.45,10.0,23.75,29.88,32.26,61.16
,Indonesia,36.24,8.43,22.88,38.14,18.02,32.95
,Albania,36.17,8.21,22.74,28.59,29.34,33.81
,Iran,35.8,16.92,26.73,32.63,26.88,37.74
,Bosnia And Herzegovina,35.72,6.32,21.6,28.81,23.78,49.18
,Russia,35.52,12.68,24.55,29.18,37.0,45.38
,Serbia,35.39,8.08,22.27,26.3,27.84,39.9
,Turkey,35.21,7.23,21.78,30.45,23.65,45.33
,Philippines,35.09,8.09,22.12,32.61,19.67,29.46
,Tanzania,34.74,16.03,25.76,28.59,25.15,22.71
,Bolivia,34.37,10.88,23.09,26.9,27.96,44.05
,Morocco,33.98,9.48,22.21,29.85,23.85,41.4
,Belarus,33.12,9.96,22.0,27.77,35.98,44.64
,Argentina,33.09,9.48,21.75,26.25,32.5,55.0
,Mexico,32.71,10.06,21.83,30.3,30.23,49.98
,Armenia,32.51,9.9,21.65,25.77,32.53,33.06
,Paraguay,32.27,9.38,21.28,26.03,25.75,35.57
,Moldova,32.26,7.97,20.6,24.97,27.71,30.75
,Bangladesh,31.83,5.44,19.16,29.52,18.97,39.82
,North Macedonia,31.58,6.47,19.52,24.85,23.67,39.83
,Nigeria,31.25,28.97,30.15,31.76,19.2,15.13
,Algeria,30.56,5.51,18.53,32.0,16.38,32.93
,Uganda,30.25,8.51,19.81,26.09,21.9,22.72
,Sri Lanka,30.24,7.57,19.36,33.57,17.36,27.34
,Colombia,30.15,9.17,20.07,24.33,22.46,34.66
,Kazakhstan,29.83,9.78,20.2,23.75,29.83,38.83
,Nepal,29.63,4.6,17.61,25.4,19.74,26.28
,Azerbaijan,29.12,8.72,19.32,24.08,30.67,32.01
,Georgia,28.78,8.53,19.05,23.39,27.09,33.19
,Ukraine,27.94,9.53,19.1,22.47,22.14,32.72
,Uzbekistan,27.11,8.27,18.06,23.9,21.14,25.09
,Egypt,26.46,5.01,16.16,23.19,22.26,23.67
,Kosovo (Disputed Territory),26.18,8.05,17.48,23.21,19.57,61.82
,Venezuela,25.73,5.89,16.2,27.58,21.98,3.71
,India,24.17,5.84,15.37,24.2,17.15,66.91
,Tunisia,23.69,4.96,14.69,22.27,13.33,37.99
,Pakistan,20.4,4.5,12.76,18.25,15.42,38.61
