Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,Switzerland,121.16,50.25,87.11,120.81,123.09,129.7
,Iceland,101.86,48.28,76.13,92.1,111.85,91.8
,Norway,100.99,37.28,70.4,92.67,111.53,103.61
,Bahamas,92.4,33.49,64.11,76.97,99.92,57.01
,Luxembourg,86.09,55.64,71.47,75.1,96.08,106.26
,Japan,83.33,27.97,56.75,83.58,48.75,103.12
,Denmark,81.38,32.91,58.11,63.62,95.14,114.39
,Hong Kong,78.14,76.83,77.51,80.3,56.08,69.34
,South Korea,76.93,22.23,50.66,89.7,44.84,103.4
,Ireland,75.35,41.8,59.24,59.1,82.65,95.09
,France,74.85,26.25,51.51,68.31,75.37,91.55
,Netherlands,74.83,34.74,55.58,58.8,83.49,102.54
,Israel,74.28,29.42,52.74,61.92,80.83,92.48
,Belgium,72.97,25.81,50.32,60.86,83.4,95.09
,Finland,72.82,26.14,50.4,60.02,77.91,112.3
,New Zealand,72.62,31.64,52.94,65.71,68.78,101.09
,Australia,72.08,35.5,54.52,66.9,70.69,122.85
,Austria,71.79,27.63,50.58,65.63,70.08,96.7
,Sweden,71.55,26.05,49.7,63.45,75.04,111.38
,United States,69.91,38.98,55.06,67.44,69.33,122.03
,Singapore,69.79,53.1,61.77,57.48,46.75,103.77
,Italy,69.25,21.68,46.4,58.34,75.72,77.49
,Germany,67.62,26.85,48.04,54.27,63.56,116.2
,United Kingdom,65.28,28.6,47.66,51.85,72.37,105.73
,Canada,65.01,28.32,47.39,62.37,61.81,109.44
,Puerto Rico,63.84,17.96,41.81,61.66,54.82,98.39
,Malta,63.32,28.68,46.69,51.23,67.28,59.67
,Taiwan,59.84,23.37,42.33,69.61,26.88,56.36
,Qatar,59.09,46.56,53.07,47.72,61.95,138.29
,Jamaica,58.8,14.74,37.64,58.84,42.26,34.69
,Lebanon,58.06,26.92,43.11,43.28,56.79,53.97
,Uruguay,57.31,16.21,37.57,45.11,56.28,47.77
,Bahrain,56.71,29.56,43.67,51.16,52.21,74.61
,Greece,56.66,10.8,34.64,43.69,54.76,49.57
,United Arab Emirates,56.16,40.98,48.87,43.16,53.88,119.6
,Cyprus,55.57,20.23,38.6,44.32,59.76,75.29
,Jordan,54.98,11.87,34.28,44.43,52.28,41.73
,Spain,54.7,20.73,38.39,44.02,54.13,83.8
,Slovenia,52.51,15.36,34.67,43.27,43.83,75.38
,Mauritius,52.44,11.53,32.8,47.89,39.14,39.77
,Myanmar,52.38,24.72,39.09,54.76,20.24,13.98
,Trinidad And Tobago,52.07,17.13,35.29,50.0,46.0,56.97
,Zimbabwe,51.57,11.67,32.41,45.74,36.81,27.65
,Kuwait,51.48,32.94,42.58,39.88,47.35,102.01
,Panama,51.45,24.63,38.57,48.21,47.06,41.34
,Ghana,51.13,31.57,41.74,44.76,31.74,18.7
,Estonia,51.01,15.38,33.9,37.06,51.24,75.97
,Fiji,50.93,22.7,37.38,57.63,36.46,35.44
,Costa Rica,50.89,15.48,33.89,47.91,42.58,47.13
,Portugal,50.39,21.07,36.31,40.2,43.13,55.19
,Palestine,50.2,9.0,30.41,43.9,37.33,57.17
,Belize,49.45,8.81,29.93,42.86,36.66,70.85
,Latvia,49.23,12.02,31.36,36.65,45.47,55.16
,Croatia,49.18,11.6,31.13,40.33,40.36,60.33
,Chile,47.73,15.22,32.12,40.55,45.15,54.13
,Saudi Arabia,47.61,11.4,30.22,39.06,30.93,118.59
,Thailand,47.54,17.71,33.21,50.0,24.63,40.86
,Cambodia,46.8,14.44,31.26,44.15,24.44,12.46
,Oman,46.2,19.89,33.57,40.02,44.41,88.47
,El Salvador,46.11,14.19,30.78,45.57,35.55,30.09
,Lithuania,45.91,12.9,30.06,35.36,43.95,60.34
,Nicaragua,45.83,9.54,28.4,46.36,31.14,24.52
,Czech Republic,45.12,18.27,32.23,38.08,33.25,71.32
,Slovakia,44.98,16.13,31.13,38.5,33.64,63.24
,Dominican Republic,44.92,10.21,28.25,35.68,42.43,26.02
,Namibia,43.22,17.46,30.85,39.92,38.59,63.6
,Brazil,42.8,11.46,27.75,31.3,34.85,37.43
,South Africa,42.49,16.5,30.01,33.88,40.79,82.97
,Honduras,42.1,10.76,27.05,33.57,31.52,35.22
,Hungary,42.03,13.64,28.4,32.36,33.43,54.66
,Ecuador,41.98,11.61,27.4,37.87,29.43,40.84
,Guatemala,41.74,13.93,28.39,38.02,32.28,41.79
,Cuba,40.5,8.11,24.95,34.3,28.29,2.47
,Iraq,39.62,11.46,26.1,34.1,31.85,47.61
,Montenegro,39.61,9.95,25.37,30.75,34.25,46.28
,Malaysia,39.38,10.92,25.71,39.7,22.75,73.14
,China,39.24,17.36,28.73,39.93,28.18,68.95
,Poland,39.13,14.92,27.5,30.66,32.72,70.0
,Kenya,38.21,10.05,24.69,33.23,31.22,32.46
,Vietnam,37.7,13.1,25.88,37.87,18.89,33.33
,Bulgaria,37.17,9.15,23.72,31.15,29.86,52.18
